document_name,threshold,num_chunks,chunk_index,num_tokens
lulzbot_mini_user_manual.pdf,90,66,0,40
lulzbot_mini_user_manual.pdf,90,66,1,92
lulzbot_mini_user_manual.pdf,90,66,2,1499
lulzbot_mini_user_manual.pdf,90,66,3,220
lulzbot_mini_user_manual.pdf,90,66,4,384
lulzbot_mini_user_manual.pdf,90,66,5,80
lulzbot_mini_user_manual.pdf,90,66,6,267
lulzbot_mini_user_manual.pdf,90,66,7,186
lulzbot_mini_user_manual.pdf,90,66,8,96
lulzbot_mini_user_manual.pdf,90,66,9,262
lulzbot_mini_user_manual.pdf,90,66,10,315
lulzbot_mini_user_manual.pdf,90,66,11,165
lulzbot_mini_user_manual.pdf,90,66,12,286
lulzbot_mini_user_manual.pdf,90,66,13,217
lulzbot_mini_user_manual.pdf,90,66,14,268
lulzbot_mini_user_manual.pdf,90,66,15,45
lulzbot_mini_user_manual.pdf,90,66,16,103
lulzbot_mini_user_manual.pdf,90,66,17,281
lulzbot_mini_user_manual.pdf,90,66,18,76
lulzbot_mini_user_manual.pdf,90,66,19,26
lulzbot_mini_user_manual.pdf,90,66,20,340
lulzbot_mini_user_manual.pdf,90,66,21,4
lulzbot_mini_user_manual.pdf,90,66,22,292
lulzbot_mini_user_manual.pdf,90,66,23,154
lulzbot_mini_user_manual.pdf,90,66,24,13
lulzbot_mini_user_manual.pdf,90,66,25,73
lulzbot_mini_user_manual.pdf,90,66,26,132
lulzbot_mini_user_manual.pdf,90,66,27,63
lulzbot_mini_user_manual.pdf,90,66,28,320
lulzbot_mini_user_manual.pdf,90,66,29,402
lulzbot_mini_user_manual.pdf,90,66,30,78
lulzbot_mini_user_manual.pdf,90,66,31,188
lulzbot_mini_user_manual.pdf,90,66,32,58
lulzbot_mini_user_manual.pdf,90,66,33,344
lulzbot_mini_user_manual.pdf,90,66,34,474
lulzbot_mini_user_manual.pdf,90,66,35,419
lulzbot_mini_user_manual.pdf,90,66,36,76
lulzbot_mini_user_manual.pdf,90,66,37,612
lulzbot_mini_user_manual.pdf,90,66,38,597
lulzbot_mini_user_manual.pdf,90,66,39,60
lulzbot_mini_user_manual.pdf,90,66,40,558
lulzbot_mini_user_manual.pdf,90,66,41,250
lulzbot_mini_user_manual.pdf,90,66,42,135
lulzbot_mini_user_manual.pdf,90,66,43,5
lulzbot_mini_user_manual.pdf,90,66,44,112
lulzbot_mini_user_manual.pdf,90,66,45,264
lulzbot_mini_user_manual.pdf,90,66,46,662
lulzbot_mini_user_manual.pdf,90,66,47,387
lulzbot_mini_user_manual.pdf,90,66,48,6
lulzbot_mini_user_manual.pdf,90,66,49,223
lulzbot_mini_user_manual.pdf,90,66,50,301
lulzbot_mini_user_manual.pdf,90,66,51,1118
lulzbot_mini_user_manual.pdf,90,66,52,283
lulzbot_mini_user_manual.pdf,90,66,53,10
lulzbot_mini_user_manual.pdf,90,66,54,1415
lulzbot_mini_user_manual.pdf,90,66,55,1500
lulzbot_mini_user_manual.pdf,90,66,56,68
lulzbot_mini_user_manual.pdf,90,66,57,141
lulzbot_mini_user_manual.pdf,90,66,58,62
lulzbot_mini_user_manual.pdf,90,66,59,251
lulzbot_mini_user_manual.pdf,90,66,60,12
lulzbot_mini_user_manual.pdf,90,66,61,152
lulzbot_mini_user_manual.pdf,90,66,62,249
lulzbot_mini_user_manual.pdf,90,66,63,13
lulzbot_mini_user_manual.pdf,90,66,64,109
lulzbot_mini_user_manual.pdf,90,66,65,175
lulzbot_taz6_user_manual.pdf,90,80,0,43
lulzbot_taz6_user_manual.pdf,90,80,1,92
lulzbot_taz6_user_manual.pdf,90,80,2,1500
lulzbot_taz6_user_manual.pdf,90,80,3,374
lulzbot_taz6_user_manual.pdf,90,80,4,62
lulzbot_taz6_user_manual.pdf,90,80,5,273
lulzbot_taz6_user_manual.pdf,90,80,6,362
lulzbot_taz6_user_manual.pdf,90,80,7,232
lulzbot_taz6_user_manual.pdf,90,80,8,265
lulzbot_taz6_user_manual.pdf,90,80,9,308
lulzbot_taz6_user_manual.pdf,90,80,10,165
lulzbot_taz6_user_manual.pdf,90,80,11,601
lulzbot_taz6_user_manual.pdf,90,80,12,76
lulzbot_taz6_user_manual.pdf,90,80,13,198
lulzbot_taz6_user_manual.pdf,90,80,14,18
lulzbot_taz6_user_manual.pdf,90,80,15,321
lulzbot_taz6_user_manual.pdf,90,80,16,66
lulzbot_taz6_user_manual.pdf,90,80,17,134
lulzbot_taz6_user_manual.pdf,90,80,18,198
lulzbot_taz6_user_manual.pdf,90,80,19,87
lulzbot_taz6_user_manual.pdf,90,80,20,140
